N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
1,Otaku,Vocaloid,Comment s'appelait ce tube hyper entêtant d'Hatsune Miku sorti en 2008 et qui parlait de jus de légumes ?,PoPiPo
2,Otaku,Vocaloid,"Quels sont les prénoms des jumeaux Kagamine, Vocaloid de 2e génération qui sont arrivés peu après Miku ?",Rin et Len
3,Otaku,Vocaloid,En quelle année sont nés les premiers Vocaloid 2 (Hatsune Miku et les jumeaux Kagamine) ?,En 2007
4,Otaku,V-Tubing,À quel animal est associée la v-tubeuse Gawr Gura ?,Le requin
5,Otaku,V-Tubing,Peux-tu me citer au moins une des deux grosses agences japonaises de V-tubeurs ?,Hololive (Cover Corporation) et Nijisanji (AnyColor Inc.)
6,Otaku,Animé,Quel animé musical met en scène un groupe nommé Franchouchou ?,Zombieland Saga
7,Japon,Botanique,"Les cerisiers sakura, typiques du Japon, fleurissent au début du printemps. Mais à quel période de l'année donnent-ils leurs fruits ?","Jamais, ce ne sont pas des arbres fruitiers."
8,Japon,Botanique,"La lycoris radiata est une fleur rouge que l'on retrouve dans de nombreux animés (Demon Slayer ou 86, par exemple). Mais à quoi cette fleur est-elle associée dans le bouddhisme et le shintoïsme ?",À la mort / À l'au-delà / Aux enfers / À la réincarnation...
9,Otaku,Animé,Quel sport est censé être le sujet de la série courte et comique Teekyuu ?,Le tennis
10,Otaku,Naruto,"Dans Naruto, quel est le pouvoir du clan Aburame ?",Contrôler les insectes
11,Otaku,Naruto,"Dans Naruto, quel est le pouvoir du clan Nara ?",Contrôler les ombres
12,Otaku,Manga,Quel manga adapté 2 fois en animé dans les années 2000 mettait en scène des jeunes filles cyborgs luttant contre des terroristes dans une Italie rétro-futuriste inspirée de la période historique des Années de plomb ?,Gunslinger Girl
13,Culture G,Anatomie,"Quelle partie du corps humain appelle-t-on scientifiquement la ""fente interglutéale"" ?","Le SIF (sillon interfessier). La raie des fesses, pour le commun des mortels."
14,JV,Fortnite,Est-ce que tu peux me citer une licence / oeuvre qui n'a jamais fait de collab avec le jeu Fortnite ?,"Le Gendarme de St-Tropez, Club Penguin, Hippo Gloutons..."
15,Otaku,Manga,De quelle comédie romantique Hori et Miyamura sont-ils les protagonistes ?,Horimiya
16,Otaku,BL,De quelle comédie romantique Sasaki et Miyano sont-ils les protagonistes ?,Sasaki & Miyano
17,Otaku,BL,Dans quel manga adapté en animé trouve-t-on un groupe de musique nommé Given ?,Given
18,Otaku,BL,Quel manga yaoi sorti en 2013 et ayant été adapté en film d'animation en 2020 met en scène un écrivain vivant à Okinawa ?,L'Etranger de la Plage
19,Otaku,Animé,En quelle année est sortie la série Japan Sinks 2020,En 2020
20,Otaku,Animé,"En quelle année est sorti le film d'animation X 1999, adapté du manga X de Clamp ?",En 1996
21,Otaku,Animé,"Laquelle de ces lettres n'est pas le titre d'un animé : B, C, K, N ou X ?","N (B the Beginning, C Control, K Project et X de Clamp)"
22,Otaku,Manga,C'est quoi le nom du chien dans Spy x Family ?,Bond
23,Otaku,Manga,Quel est le nom de famille des personnages principaux de Spy x Family ?,Forger
24,Otaku,One Piece,Sous quel nom est plus connu Edward Newgate dans One Piece ?,Barbe blanche
25,Otaku,One Piece,Comment s'appelle la chanteuse au coeur de l'intrigue du film One Piece Red ?,Uta
26,Otaku,One Piece,Quelle chanteuse japonaise a signé les chansons du film One Piece Red ?,Ado
27,Otaku,One Piece,Peux-tu me citer au moins un des 7 compositeurs ou groupes qui ont travaillés sur la musique des chansons du film One Piece Red ?,"Yasutaka Nakata, Mrs. Green Apple, Vaundy, Fake Type, Hiroyuki Sawano, Yuta Orisaka, Motohiro Hata"
